unicode,similar_to,uc_similar_to,similarity
FF1A,:,003A,1.0
05C3,:,003A,1.0
2236,:,003A,1.0
02D0,:,003A,0.8235294
037E,;,003B,1.0
FF1B,;,003B,1.0
FF1C,<,003C,1.0
22D6,<,003C,0.856383
FF1D,=,003D,1.0
FF1E,>,003E,1.0
22D7,>,003E,0.856383
FF1F,?,003F,1.0
FF20,@,0040,1.0
FF41,A,0041,1.0
0061,A,0041,1.0
0430,A,0041,1.0
0391,A,0041,1.0
FF21,A,0041,1.0
0410,A,0041,1.0
1EA0,A,0041,0.9496855
1EA1,A,0041,0.9413919
1FBC,A,0041,0.9207317
1E00,A,0041,0.9041916
1E01,A,0041,0.8892733
0105,A,0041,0.8653198
04E9,A,0041,0.8505747
0275,A,0041,0.8494208
0386,A,0041,0.8328173
0E25,A,0041,0.8294573
0259,A,0041,0.8210117
04D9,A,0041,0.8210117
01DD,A,0041,0.8210117
0250,A,0041,0.8132296
01A8,A,0041,0.8015564
0412,B,0042,1.0
FF42,B,0042,1.0
0062,B,0042,1.0
0392,B,0042,1.0
FF22,B,0042,1.0
1E04,B,0042,0.956044
0185,B,0042,0.948718
1E05,B,0042,0.9446367
0253,B,0042,0.9166667
1E06,B,0042,0.9133858
1E07,B,0042,0.8921568
00FE,B,0042,0.8881579
0183,B,0042,0.8662421
0182,B,0042,0.8563218
10EE,B,0042,0.8158845
1E2B,B,0042,0.8095238
1E96,B,0042,0.8095238
0068,B,0042,0.8095238
1E25,B,0042,0.8095238
FF48,B,0042,0.8095238
04BB,B,0042,0.8095238
0411,B,0042,0.8074713
1E55,B,0042,0.8047138
0441,C,0043,1.0
FF43,C,0043,1.0
217D,C,0043,1.0
0063,C,0043,1.0
03F2,C,0043,1.0
FF23,C,0043,1.0
216D,C,0043,1.0
0421,C,0043,1.0
0454,C,0043,0.8957346
0404,C,0043,0.8954248
0480,C,0043,0.8926175
04AA,C,0043,0.8625
04AB,C,0043,0.8260869
10BA,C,0043,0.8256228
00C7,C,0043,0.8204334
00E7,C,0043,0.8146552
0254,C,0043,0.8105263
0255,C,0043,0.8103448
041E,C,0043,0.8006231
FF2F,C,0043,0.8006231
039F,C,0043,0.8006231
004F,C,0043,0.8006231
0064,D,0044,1.0
FF44,D,0044,1.0
217E,D,0044,1.0
FF24,D,0044,1.0
216E,D,0044,1.0
1E0C,D,0044,0.9518072
1E0D,D,0044,0.9442509
0257,D,0044,0.922807
010F,D,0044,0.9186441
0111,D,0044,0.909396
1E0E,D,0044,0.9054441
1E0F,D,0044,0.8914474
1E12,D,0044,0.8901408
1E10,D,0044,0.8753462
1E13,D,0044,0.8741935
018C,D,0044,0.8630573
1E11,D,0044,0.8566879
0256,D,0044,0.8522013
03AC,D,0044,0.8424909
1F70,D,0044,0.8424909
1F71,D,0044,0.8424909
10EB,D,0044,0.8413284
02A0,D,0044,0.827044
0151,D,0044,0.8214286
1FB0,D,0044,0.8062284
020D,D,0044,0.8
0065,E,0045,1.0
0435,E,0045,1.0
FF45,E,0045,1.0
0395,E,0045,1.0
0415,E,0045,1.0
FF25,E,0045,1.0
1EB8,E,0045,0.942029
1EB9,E,0045,0.9384615
0258,E,0045,0.9098361
0275,E,0045,0.8841699
04E9,E,0045,0.8812261
1E18,E,0045,0.8695652
1E1A,E,0045,0.8666667
FF4F,E,0045,0.8647541
03BF,E,0045,0.8647541
006F,E,0045,0.8647541
043E,E,0045,0.8647541
1E19,E,0045,0.8621908
1E1B,E,0045,0.8591549
025E,E,0045,0.8565574
0118,E,0045,0.852459
1ECD,E,0045,0.8508065
0473,E,0045,0.8467153
0119,E,0045,0.8413793
0259,E,0045,0.8278689
0250,E,0045,0.8278689
04D9,E,0045,0.8278689
01DD,E,0045,0.8278689
0251,E,0045,0.8237705
0182,E,0045,0.8039867
FF46,F,0046,1.0
0066,F,0046,1.0
FF26,F,0046,1.0
01AD,F,0046,0.9012346
03DC,F,0046,0.8451328
0413,F,0046,0.814433
0393,F,0046,0.814433
FF54,F,0046,0.8026316
0074,F,0046,0.8026316
0261,G,0047,1.0
0067,G,0047,1.0
FF47,G,0047,1.0
FF27,G,0047,1.0
01E5,G,0047,0.9394813
01E4,G,0047,0.9375
0122,G,0047,0.9350283
0039,G,0047,0.8292683
FF19,G,0047,0.8292683
FF2F,G,0047,0.8217523
039F,G,0047,0.8217523
041E,G,0047,0.8217523
004F,G,0047,0.8217523
03F1,G,0047,0.8140244
1ECC,G,0047,0.8071216
